,Features,Rank
0,GC_content,1
1,tandem_repeats,1
2,entropy,1
3,melting_temperature,1
4,contiguous_repetitiveness,1
5,MFE,1
6,Cas12,1
7,Cas13,22
8,Cas9,1
9,A_count,1
10,C_count,1
11,T_count,1
12,G_count,1
13,Pos_1_A,1
14,Pos_1_G,1
15,Pos_1_T,1
16,Pos_1_C,60
17,Pos_2_A,26
18,Pos_2_G,1
19,Pos_2_T,6
20,Pos_2_C,1
21,Pos_3_A,24
22,Pos_3_G,36
23,Pos_3_T,32
24,Pos_3_C,23
25,Pos_4_A,34
26,Pos_4_G,33
27,Pos_4_T,30
28,Pos_4_C,10
29,Pos_5_A,1
30,Pos_5_G,31
31,Pos_5_T,1
32,Pos_5_C,15
33,Pos_6_A,1
34,Pos_6_G,38
35,Pos_6_T,1
36,Pos_6_C,42
37,Pos_7_A,11
38,Pos_7_G,41
39,Pos_7_T,1
40,Pos_7_C,40
41,Pos_8_A,27
42,Pos_8_G,25
43,Pos_8_T,1
44,Pos_8_C,52
45,Pos_9_A,55
46,Pos_9_G,57
47,Pos_9_T,39
48,Pos_9_C,43
49,Pos_10_A,14
50,Pos_10_G,66
51,Pos_10_T,69
52,Pos_10_C,70
53,Pos_11_A,19
54,Pos_11_G,2
55,Pos_11_T,3
56,Pos_11_C,79
57,Pos_12_A,13
58,Pos_12_G,83
59,Pos_12_T,37
60,Pos_12_C,86
61,Pos_13_A,89
62,Pos_13_G,54
63,Pos_13_T,1
64,Pos_13_C,18
65,Pos_14_A,17
66,Pos_14_G,35
67,Pos_14_T,1
68,Pos_14_C,29
69,Pos_15_A,28
70,Pos_15_G,20
71,Pos_15_T,21
72,Pos_15_C,1
73,Pos_16_A,45
74,Pos_16_G,1
75,Pos_16_T,46
76,Pos_16_C,1
77,Pos_17_A,1
78,Pos_17_G,7
79,Pos_17_T,44
80,Pos_17_C,9
81,Pos_18_A,1
82,Pos_18_G,4
83,Pos_18_T,1
84,Pos_18_C,1
85,Pos_19_A,1
86,Pos_19_G,12
87,Pos_19_T,16
88,Pos_19_C,1
89,Pos_20_A,8
90,Pos_20_G,1
91,Pos_20_T,5
92,Pos_20_C,1
93,Pos_21_A,47
94,Pos_21_G,48
95,Pos_21_T,49
96,Pos_21_C,51
97,Pos_22_A,50
98,Pos_22_G,53
99,Pos_22_T,56
100,Pos_22_C,58
101,Pos_23_A,59
102,Pos_23_G,61
103,Pos_23_T,62
104,Pos_23_C,63
105,Pos_24_A,64
106,Pos_24_G,65
107,Pos_24_T,67
108,Pos_24_C,68
109,Pos_25_A,71
110,Pos_25_G,72
111,Pos_25_T,73
112,Pos_25_C,74
113,Pos_26_A,75
114,Pos_26_G,76
115,Pos_26_T,77
116,Pos_26_C,78
117,Pos_27_A,80
118,Pos_27_G,81
119,Pos_27_T,82
120,Pos_27_C,84
121,Pos_28_A,85
122,Pos_28_G,87
123,Pos_28_T,88
124,Pos_28_C,90
