,Features,Rank
0,GC_content,1
1,tandem_repeats,1
2,entropy,1
3,melting_temperature,1
4,contiguous_repetitiveness,1
5,MFE,1
6,Cas12,1
7,Cas13,1
8,Cas9,1
9,A_count,1
10,C_count,1
11,T_count,1
12,G_count,1
13,Pos_1_A,1
14,Pos_1_G,1
15,Pos_1_T,1
16,Pos_1_C,1
17,Pos_2_A,1
18,Pos_2_G,1
19,Pos_2_T,1
20,Pos_2_C,1
21,Pos_3_A,1
22,Pos_3_G,1
23,Pos_3_T,1
24,Pos_3_C,1
25,Pos_4_A,1
26,Pos_4_G,1
27,Pos_4_T,1
28,Pos_4_C,1
29,Pos_5_A,1
30,Pos_5_G,1
31,Pos_5_T,1
32,Pos_5_C,1
33,Pos_6_A,1
34,Pos_6_G,1
35,Pos_6_T,1
36,Pos_6_C,1
37,Pos_7_A,1
38,Pos_7_G,1
39,Pos_7_T,1
40,Pos_7_C,1
41,Pos_8_A,1
42,Pos_8_G,1
43,Pos_8_T,1
44,Pos_8_C,1
45,Pos_9_A,1
46,Pos_9_G,1
47,Pos_9_T,1
48,Pos_9_C,1
49,Pos_10_A,1
50,Pos_10_G,1
51,Pos_10_T,1
52,Pos_10_C,1
53,Pos_11_A,1
54,Pos_11_G,1
55,Pos_11_T,1
56,Pos_11_C,1
57,Pos_12_A,1
58,Pos_12_G,1
59,Pos_12_T,1
60,Pos_12_C,1
61,Pos_13_A,1
62,Pos_13_G,1
63,Pos_13_T,1
64,Pos_13_C,1
65,Pos_14_A,1
66,Pos_14_G,1
67,Pos_14_T,1
68,Pos_14_C,1
69,Pos_15_A,1
70,Pos_15_G,1
71,Pos_15_T,1
72,Pos_15_C,1
73,Pos_16_A,1
74,Pos_16_G,1
75,Pos_16_T,1
76,Pos_16_C,1
77,Pos_17_A,1
78,Pos_17_G,1
79,Pos_17_T,1
80,Pos_17_C,1
81,Pos_18_A,1
82,Pos_18_G,1
83,Pos_18_T,1
84,Pos_18_C,1
85,Pos_19_A,1
86,Pos_19_G,1
87,Pos_19_T,1
88,Pos_19_C,1
89,Pos_20_A,1
90,Pos_20_G,1
91,Pos_20_T,1
92,Pos_20_C,1
93,Pos_21_A,1
94,Pos_21_G,4
95,Pos_21_T,1
96,Pos_21_C,1
97,Pos_22_A,2
98,Pos_22_G,9
99,Pos_22_T,3
100,Pos_22_C,1
101,Pos_23_A,1
102,Pos_23_G,1
103,Pos_23_T,1
104,Pos_23_C,5
105,Pos_24_A,1
106,Pos_24_G,1
107,Pos_24_T,1
108,Pos_24_C,1
109,Pos_25_A,1
110,Pos_25_G,1
111,Pos_25_T,1
112,Pos_25_C,1
113,Pos_26_A,1
114,Pos_26_G,1
115,Pos_26_T,1
116,Pos_26_C,1
117,Pos_27_A,1
118,Pos_27_G,1
119,Pos_27_T,6
120,Pos_27_C,7
121,Pos_28_A,8
122,Pos_28_G,11
123,Pos_28_T,10
124,Pos_28_C,12
