,Features,Rank
0,GC_content,1
1,tandem_repeats,8
2,entropy,5
3,melting_temperature,1
4,contiguous_repetitiveness,1
5,MFE,1
6,Cas12,1
7,Cas13,12
8,Cas9,1
9,A_count,1
10,C_count,1
11,T_count,1
12,G_count,1
13,Pos_1_A,1
14,Pos_1_G,1
15,Pos_1_T,1
16,Pos_1_C,1
17,Pos_2_A,1
18,Pos_2_G,1
19,Pos_2_T,1
20,Pos_2_C,1
21,Pos_3_A,1
22,Pos_3_G,1
23,Pos_3_T,1
24,Pos_3_C,4
25,Pos_4_A,1
26,Pos_4_G,1
27,Pos_4_T,1
28,Pos_4_C,6
29,Pos_5_A,1
30,Pos_5_G,1
31,Pos_5_T,1
32,Pos_5_C,7
33,Pos_6_A,1
34,Pos_6_G,7
35,Pos_6_T,1
36,Pos_6_C,8
37,Pos_7_A,1
38,Pos_7_G,1
39,Pos_7_T,1
40,Pos_7_C,10
41,Pos_8_A,8
42,Pos_8_G,9
43,Pos_8_T,1
44,Pos_8_C,1
45,Pos_9_A,7
46,Pos_9_G,1
47,Pos_9_T,1
48,Pos_9_C,6
49,Pos_10_A,1
50,Pos_10_G,1
51,Pos_10_T,6
52,Pos_10_C,11
53,Pos_11_A,4
54,Pos_11_G,1
55,Pos_11_T,3
56,Pos_11_C,4
57,Pos_12_A,1
58,Pos_12_G,5
59,Pos_12_T,1
60,Pos_12_C,2
61,Pos_13_A,1
62,Pos_13_G,10
63,Pos_13_T,1
64,Pos_13_C,3
65,Pos_14_A,5
66,Pos_14_G,1
67,Pos_14_T,1
68,Pos_14_C,10
69,Pos_15_A,1
70,Pos_15_G,11
71,Pos_15_T,1
72,Pos_15_C,9
73,Pos_16_A,1
74,Pos_16_G,1
75,Pos_16_T,1
76,Pos_16_C,11
77,Pos_17_A,2
78,Pos_17_G,1
79,Pos_17_T,1
80,Pos_17_C,9
81,Pos_18_A,1
82,Pos_18_G,1
83,Pos_18_T,1
84,Pos_18_C,1
85,Pos_19_A,1
86,Pos_19_G,1
87,Pos_19_T,1
88,Pos_19_C,2
89,Pos_20_A,3
90,Pos_20_G,1
91,Pos_20_T,1
92,Pos_20_C,1
93,Pos_21_A,22
94,Pos_21_G,22
95,Pos_21_T,21
96,Pos_21_C,21
97,Pos_22_A,20
98,Pos_22_G,20
99,Pos_22_T,18
100,Pos_22_C,19
101,Pos_23_A,17
102,Pos_23_G,16
103,Pos_23_T,12
104,Pos_23_C,12
105,Pos_24_A,13
106,Pos_24_G,13
107,Pos_24_T,14
108,Pos_24_C,14
109,Pos_25_A,13
110,Pos_25_G,14
111,Pos_25_T,15
112,Pos_25_C,15
113,Pos_26_A,15
114,Pos_26_G,16
115,Pos_26_T,16
116,Pos_26_C,17
117,Pos_27_A,17
118,Pos_27_G,18
119,Pos_27_T,18
120,Pos_27_C,19
121,Pos_28_A,19
122,Pos_28_G,20
123,Pos_28_T,21
124,Pos_28_C,22
