Parameters,mean_test_recall,mean_test_precision,mean_test_f1,mean_test_roc_auc,mean_test_accuracy
"{'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.687683766,0.67173984,0.679402263,0.736985357,0.674708971
"{'degree': 4, 'gamma': 1, 'kernel': 'poly'}",0.686344236,0.671905081,0.678954539,0.733721689,0.673809339
"{'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",0.686344236,0.671905081,0.678954539,0.733713619,0.673809339
"{'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",0.674086102,0.666236732,0.670061002,0.724084042,0.665725065
"{'degree': 3, 'gamma': 1, 'kernel': 'poly'}",0.674977964,0.666689794,0.67073262,0.72398091,0.666286548
"{'degree': 2, 'gamma': 1, 'kernel': 'poly'}",0.664723789,0.655628823,0.660104914,0.7105258,0.655619518
"{'degree': 1, 'gamma': 1, 'kernel': 'poly'}",0.692360827,0.62865949,0.658563616,0.69317861,0.641583279
"{'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",1,0.503705342,0.669952181,0.692595656,0.503705342
"{'degree': 4, 'gamma': 0.001, 'kernel': 'poly'}",1,0.503705342,0.669952181,0.691994071,0.503705342
"{'degree': 4, 'gamma': 0.0001, 'kernel': 'poly'}",1,0.503705342,0.669952181,0.691937904,0.503705342
"{'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.72915807,0.626859898,0.67284851,0.687539199,0.639788174
"{'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",1,0.504840007,0.670954766,0.684052955,0.505951019
"{'degree': 3, 'gamma': 0.0001, 'kernel': 'poly'}",1,0.503705342,0.669952181,0.683689304,0.503705342
"{'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}",1,0.503705342,0.669952181,0.683630024,0.503705342
"{'degree': 1, 'gamma': 0.1, 'kernel': 'poly'}",0.683448416,0.624220193,0.652320179,0.682859354,0.634397251
"{'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",1,0.503705342,0.669952181,0.674754688,0.503705342
"{'degree': 2, 'gamma': 0.0001, 'kernel': 'poly'}",1,0.503705342,0.669952181,0.674249391,0.503705342
"{'degree': 1, 'gamma': 0.01, 'kernel': 'poly'}",0.668296201,0.621121834,0.643721758,0.67023078,0.627324338
"{'degree': 1, 'gamma': 0.001, 'kernel': 'poly'}",0.723590141,0.613824345,0.661790061,0.665844947,0.624068497
"{'degree': 1, 'gamma': 0.0001, 'kernel': 'poly'}",1,0.503705342,0.669952181,0.664145393,0.503705342
