Parameters,mean_test_recall,mean_test_precision,mean_test_f1,mean_test_roc_auc,mean_test_accuracy
"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",0.729365144,0.676272168,0.701191983,0.753298581,0.689979463
"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.728249821,0.674061754,0.699471802,0.749571685,0.687733533
"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.727358207,0.671312232,0.697686109,0.747379047,0.685038292
"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.699941155,0.677444964,0.68832271,0.744211205,0.682230818
"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.699941155,0.677444964,0.68832271,0.744211205,0.682230818
"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",0.699941155,0.677444964,0.68832271,0.744211205,0.682230818
"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.691474676,0.675122843,0.683118707,0.738010863,0.677741039
"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",0.676538474,0.666465713,0.671413559,0.721290262,0.666398214
"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.708187152,0.642053282,0.673032646,0.708280252,0.65651707
"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.787343608,0.623493719,0.693065801,0.693740487,0.644503239
"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.68545585,0.632257542,0.657641405,0.691888381,0.641471613
"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",0.690580083,0.62960924,0.658431638,0.6898607,0.641134282
"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.671192021,0.62370574,0.646447279,0.675830205,0.631029743
"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.668739898,0.621833295,0.644300177,0.673637332,0.628896363
"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.705528699,0.615955659,0.656179713,0.669412209,0.624404945
"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.693489806,0.617071876,0.652055477,0.666759963,0.624404945
"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.689699891,0.616424666,0.65006624,0.666365077,0.62316981
"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",1,0.503705342,0.669952181,0.664313078,0.503705342
"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",1,0.503705342,0.669952181,0.664152703,0.503705342
"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}",1,0.503705342,0.669952181,0.664115629,0.503705342
"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",1,0.504101853,0.670302728,0.633197923,0.504491354
"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",1,0.504101853,0.670302728,0.633197923,0.504491354
"{'C': 1000, 'gamma': 1, 'kernel': 'rbf'}",1,0.504101853,0.670302728,0.633197923,0.504491354
"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",1,0.504101853,0.670302728,0.633188853,0.504491354
"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",1,0.503705342,0.669952181,0.63318811,0.503705342
