Parameters,mean_test_recall,mean_test_precision,mean_test_f1,mean_test_roc_auc,mean_test_accuracy
"{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}",1.0,0.5037053421481646,0.6699521808433561,0.500483874204116,0.5037053421481646
"{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.5804728952981109,0.5637771699084061,0.5717435074340462,0.5808053060107925,0.5610796970894294
"{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7247049680573452,0.6135278022056626,0.6621155098561955,0.6655774142945342,0.6240686861124818
"{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.5037053421481646,0.6699521808433561,0.6641332873219524,0.5037053421481646
"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'sigmoid'}",1.0,0.5037053421481646,0.6699521808433561,0.6641771385138616,0.5037053421481646
"{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}",1.0,0.5037053421481646,0.6699521808433561,0.5005035476253239,0.5037053421481646
"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.47615585731204985,0.4671217938910056,0.4714966667497988,0.44147862123999443,0.46283648765400587
"{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6658445747145273,0.6187997654991252,0.6413186623480331,0.6690152884761578,0.6246295382548424
"{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.7238131062959183,0.6140336065370491,0.6620055751723039,0.6658328438009563,0.6242930269694259
"{'C': 1, 'gamma': 0.0001, 'kernel': 'sigmoid'}",1.0,0.5037053421481646,0.6699521808433561,0.6641453934809511,0.5037053421481646
"{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}",0.33930250054003325,0.43403054126311275,0.3762142507280464,0.44907366228403606,0.45542807197308416
"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.46813009462375205,0.4635063430260068,0.46569941789871294,0.43346874300522575,0.4593559904995428
"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6738648749978274,0.6179286685111786,0.6445468136389343,0.6706424394399662,0.6267624778573684
"{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.667850270513193,0.620987792088164,0.6434456156675933,0.6702492021737315,0.6270997453479206
"{'C': 10, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.7235901408555617,0.6138243453021097,0.6617900610532377,0.6658451996554529,0.6240684970611977
"{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}",0.4478645720826412,0.42165897891428034,0.43280510831885943,0.39437847914443774,0.42208156806696956
"{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.4656816957291442,0.4603265437160486,0.4628301947666655,0.43099919723318736,0.4563248052299147
"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.5822419696439256,0.5586727355789154,0.5700413704991354,0.580232673342912,0.55916801050621
"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.6838943471557009,0.6244096576042237,0.6526288134207016,0.682728747787021,0.6346218438675859
"{'C': 100, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.6680732359535497,0.6210565463221103,0.6435839140275783,0.6702388534328771,0.627212041810582
"{'C': 1000, 'gamma': 1, 'kernel': 'sigmoid'}",0.44585788311943053,0.4192563689582468,0.43037620023887885,0.39317078066541866,0.4207339474979378
"{'C': 1000, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.4674639295051806,0.4628333881294574,0.4649795915040114,0.4348086579186621,0.4587950753400875
"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.5053412389231117,0.5047352476494733,0.5049773418260043,0.5113046538645735,0.5013437135091636
"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.6928067574915644,0.628222494748511,0.6584916419375109,0.692391367263227,0.6413587493879465
"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.6834481679838512,0.6241885358316963,0.6523016985218769,0.6829004419503582,0.6343971879251684
