Parameters,mean_test_recall,mean_test_precision,mean_test_f1,mean_test_roc_auc,mean_test_accuracy
"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.693391067,0.643661775,0.667140735,0.711731149,0.653675961
"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.693167853,0.643546721,0.666965935,0.711644314,0.653563727
"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.693613785,0.643462644,0.667144416,0.711622642,0.653563349
"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}",0.693167356,0.643746092,0.667065703,0.711620987,0.65367533
"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",0.694283925,0.644163035,0.667843965,0.711584186,0.654237632
"{'C': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.69316835,0.643720346,0.667061679,0.711571069,0.653676087
"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}",0.69116141,0.643317119,0.66591676,0.711535635,0.652889444
"{'C': 10, 'penalty': 'l2', 'solver': 'newton-cg'}",0.693167356,0.643536935,0.666948205,0.711533725,0.653563349
"{'C': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",0.692721425,0.6437639,0.666848494,0.711532703,0.653675961
"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.688039393,0.644313422,0.66502405,0.710987705,0.652888183
"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.687593959,0.64509239,0.665158655,0.710883777,0.653562971
"{'C': 1.0, 'penalty': 'l2', 'solver': 'newton-cg'}",0.687815682,0.644808342,0.665115521,0.710843731,0.653337495
"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.68805033,0.644256121,0.665200544,0.706153824,0.652554761
"{'C': 0.1, 'penalty': 'l2', 'solver': 'newton-cg'}",0.670889178,0.64282261,0.656274141,0.700711798,0.647051791
"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.670889178,0.64282261,0.656274141,0.700708267,0.647051791
"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.673119333,0.643741253,0.657858673,0.699994128,0.64817463
"{'C': 0.01, 'penalty': 'l2', 'solver': 'newton-cg'}",0.653299992,0.632873372,0.642745305,0.685544509,0.634031829
"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.653299992,0.632873372,0.642745305,0.685544499,0.634031829
"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}",0.655753858,0.63235865,0.643654159,0.684968845,0.634032207
"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.582735941,0.613450657,0.595131732,0.648417011,0.60047756
"{'C': 100, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,
"{'C': 100, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,
"{'C': 10, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,
"{'C': 10, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,
"{'C': 1.0, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,
"{'C': 1.0, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,
"{'C': 0.1, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,
"{'C': 0.1, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,
"{'C': 0.01, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,
"{'C': 0.01, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,
