Parameters,mean_test_recall,mean_test_precision,mean_test_f1,mean_test_roc_auc,mean_test_accuracy
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 19, 'min_samples_split': 80}",0.663789572,0.642641979,0.652268607,0.696693004,0.644939659
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 18, 'min_samples_split': 70}",0.667796492,0.637466371,0.65185877,0.696035469,0.641677575
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 19, 'min_samples_split': 250}",0.664642161,0.643967264,0.651532644,0.695105235,0.647177644
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 19, 'min_samples_split': 150}",0.663079164,0.642457143,0.650871536,0.695061223,0.645833491
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 19, 'min_samples_split': 110}",0.665333181,0.632192211,0.646973526,0.694622667,0.637078652
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 18, 'min_samples_split': 240}",0.674236398,0.636265701,0.654120216,0.6944179,0.643244303
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 19, 'min_samples_split': 200}",0.671530484,0.638668067,0.651727946,0.694197035,0.645158451
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 19, 'min_samples_split': 130}",0.699634605,0.636247941,0.664607036,0.69407075,0.648749795
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 17, 'min_samples_split': 290}",0.647674395,0.646367962,0.642853824,0.693539534,0.64673098
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 18, 'min_samples_split': 120}",0.651969655,0.643670578,0.64727548,0.693433336,0.643140519
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 19, 'min_samples_split': 130}",0.675169026,0.638190425,0.655731388,0.693312323,0.643703451
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 15, 'min_samples_split': 140}",0.675134724,0.639393337,0.656461038,0.692735171,0.645941311
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 18, 'min_samples_split': 90}",0.647044026,0.639571979,0.642642526,0.692212889,0.639875913
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 19, 'min_samples_split': 190}",0.674482481,0.6366641,0.653743528,0.691745127,0.64212613
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 18, 'min_samples_split': 210}",0.680478444,0.634245647,0.653027943,0.69104583,0.641116029
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 15, 'min_samples_split': 50}",0.63928472,0.637887796,0.638152094,0.690922062,0.63539742
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 19, 'min_samples_split': 250}",0.668426364,0.629140232,0.646302007,0.690788722,0.636066281
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 19, 'min_samples_split': 200}",0.678949749,0.633340934,0.654556303,0.690716795,0.64022308
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 19, 'min_samples_split': 150}",0.652179944,0.640955019,0.646002659,0.690710682,0.642013518
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 17, 'min_samples_split': 260}",0.689639675,0.63983301,0.662915805,0.690646414,0.648868712
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 19, 'min_samples_split': 110}",0.680947741,0.627170365,0.652614143,0.690506134,0.636065902
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 16, 'min_samples_split': 100}",0.657092149,0.638830473,0.647012206,0.690448096,0.639655481
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 14, 'min_samples_split': 180}",0.645919007,0.643194424,0.642455207,0.690399546,0.642356146
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 18, 'min_samples_split': 150}",0.680699173,0.631613856,0.654634929,0.690264836,0.640660916
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 18, 'min_samples_split': 80}",0.652190881,0.629987257,0.640380234,0.689916844,0.63247191
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 18, 'min_samples_split': 160}",0.667534998,0.630641296,0.646738733,0.689910491,0.637296561
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 16, 'min_samples_split': 300}",0.67402263,0.627695248,0.647182663,0.689585985,0.634164996
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 15, 'min_samples_split': 250}",0.62945136,0.635722523,0.63124132,0.689577172,0.63224366
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 19, 'min_samples_split': 140}",0.678053412,0.628807575,0.652205273,0.689572094,0.636397811
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 18, 'min_samples_split': 150}",0.661772689,0.639909503,0.650080676,0.689543789,0.642688811
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 19, 'min_samples_split': 280}",0.662894229,0.639838193,0.649671203,0.68953095,0.641685519
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 19, 'min_samples_split': 180}",0.684035456,0.633643809,0.654939548,0.689444268,0.642351354
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 19, 'min_samples_split': 180}",0.679597518,0.632620373,0.653697761,0.689269564,0.640444898
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 18, 'min_samples_split': 110}",0.650167038,0.633148772,0.640688812,0.689217334,0.635841183
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 18, 'min_samples_split': 90}",0.651286092,0.636241191,0.642952377,0.689029487,0.637973619
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 17, 'min_samples_split': 130}",0.689210647,0.631030012,0.657739321,0.688946363,0.639543374
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 17, 'min_samples_split': 80}",0.652184915,0.632456523,0.641150127,0.688942715,0.635165261
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 19, 'min_samples_split': 160}",0.664008809,0.639381233,0.651066193,0.688743651,0.642239751
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 19, 'min_samples_split': 320}",0.638366012,0.644284363,0.638921307,0.6886301,0.639775029
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 18, 'min_samples_split': 120}",0.67179695,0.625112385,0.646431879,0.688559657,0.63167707
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 15, 'min_samples_split': 140}",0.649942829,0.635695378,0.64176262,0.688478628,0.637181427
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 18, 'min_samples_split': 170}",0.664201698,0.630771769,0.645184894,0.688312728,0.636964779
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 15, 'min_samples_split': 320}",0.675788458,0.632726316,0.65181025,0.688286262,0.64044389
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 17, 'min_samples_split': 180}",0.689424415,0.630724819,0.65827884,0.6882315,0.63976658
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 19, 'min_samples_split': 90}",0.646831749,0.640563586,0.643521913,0.688222602,0.640213622
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 16, 'min_samples_split': 70}",0.660427935,0.636690412,0.647351763,0.688181582,0.639882344
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 17, 'min_samples_split': 160}",0.657748369,0.638388119,0.646833912,0.688121303,0.640778698
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 19, 'min_samples_split': 220}",0.675826241,0.62960629,0.650569934,0.688072214,0.635614194
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 15, 'min_samples_split': 130}",0.645714683,0.638495559,0.640991621,0.688046986,0.638083835
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 17, 'min_samples_split': 310}",0.67246013,0.640308297,0.654435026,0.687912717,0.645610159
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 18, 'min_samples_split': 130}",0.659537564,0.637285739,0.646899017,0.687847803,0.639541987
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 17, 'min_samples_split': 310}",0.679795876,0.626643977,0.650860157,0.687841787,0.636731485
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 16, 'min_samples_split': 200}",0.641492006,0.63309346,0.636523683,0.687833129,0.633487308
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 18, 'min_samples_split': 220}",0.661525115,0.631304195,0.643964418,0.687729801,0.635835256
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 19, 'min_samples_split': 190}",0.663110484,0.63490404,0.647422062,0.687714898,0.637632757
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 18, 'min_samples_split': 150}",0.666019229,0.632323618,0.6475421,0.687690726,0.636401846
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 17, 'min_samples_split': 310}",0.695459652,0.63052283,0.660164358,0.687664692,0.641121073
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 19, 'min_samples_split': 230}",0.653038995,0.637607003,0.643001209,0.687621726,0.640218036
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 15, 'min_samples_split': 110}",0.67001571,0.631410833,0.649538035,0.687524133,0.63763364
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 18, 'min_samples_split': 180}",0.673152641,0.629383897,0.649887865,0.687511569,0.635953669
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 19, 'min_samples_split': 70}",0.665573795,0.637080673,0.649720509,0.687493013,0.640444142
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 19, 'min_samples_split': 140}",0.672656499,0.634249637,0.651981643,0.687431176,0.641888296
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 19, 'min_samples_split': 120}",0.671573735,0.635009363,0.652246459,0.687220377,0.640661042
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 18, 'min_samples_split': 90}",0.664900175,0.636824893,0.650004173,0.687194042,0.640666213
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 18, 'min_samples_split': 170}",0.651058404,0.631737351,0.639862885,0.687151552,0.633933971
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 15, 'min_samples_split': 80}",0.655312898,0.637623225,0.645409245,0.687023979,0.63785508
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 19, 'min_samples_split': 210}",0.672686327,0.632353023,0.650479803,0.686928981,0.638419526
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 18, 'min_samples_split': 200}",0.667778595,0.629441565,0.646953359,0.686912123,0.635952786
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 14, 'min_samples_split': 110}",0.671807887,0.630389495,0.649936373,0.686746491,0.636736151
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 18, 'min_samples_split': 200}",0.659780663,0.631624302,0.644751313,0.686577547,0.635059459
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 16, 'min_samples_split': 80}",0.669378381,0.628894306,0.647915524,0.686519778,0.633143924
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 17, 'min_samples_split': 160}",0.678246301,0.633892615,0.654467487,0.686511031,0.642232437
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 17, 'min_samples_split': 150}",0.658657135,0.631189707,0.643795248,0.686462767,0.63415806
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 19, 'min_samples_split': 200}",0.660846524,0.633040342,0.645332197,0.686374445,0.637961513
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 19, 'min_samples_split': 190}",0.670014715,0.623590486,0.645389492,0.686247348,0.630559654
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 17, 'min_samples_split': 260}",0.648387289,0.631556844,0.63875091,0.686226496,0.633143419
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 18, 'min_samples_split': 310}",0.63749652,0.639516705,0.637795969,0.686138875,0.636292891
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 18, 'min_samples_split': 330}",0.658869412,0.635806843,0.645681413,0.686138604,0.637856972
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 16, 'min_samples_split': 130}",0.649954263,0.634985669,0.641086502,0.6861341,0.635492881
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 14, 'min_samples_split': 100}",0.662675489,0.63247391,0.646784313,0.686064176,0.635612681
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 19, 'min_samples_split': 70}",0.647292595,0.638446496,0.642385571,0.685996106,0.636956456
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 19, 'min_samples_split': 150}",0.668278217,0.629058639,0.647146852,0.685971978,0.633260445
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 19, 'min_samples_split': 220}",0.665090578,0.634312778,0.647700873,0.685909265,0.640551962
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 14, 'min_samples_split': 430}",0.700570216,0.625703751,0.66038408,0.685872253,0.63763427
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 19, 'min_samples_split': 280}",0.643033626,0.63354041,0.635552834,0.685823862,0.632920339
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 18, 'min_samples_split': 110}",0.641492006,0.643914946,0.642008822,0.685792517,0.640779707
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 14, 'min_samples_split': 190}",0.68251223,0.634562907,0.656499501,0.68573075,0.641453234
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 19, 'min_samples_split': 140}",0.654865475,0.636010697,0.644149302,0.685666479,0.635496665
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 19, 'min_samples_split': 240}",0.676045975,0.63410715,0.651089333,0.685647378,0.63875837
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 14, 'min_samples_split': 210}",0.673150155,0.63518989,0.652896057,0.685635012,0.641231163
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 16, 'min_samples_split': 160}",0.664447781,0.629219257,0.645728939,0.685564017,0.632800161
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 14, 'min_samples_split': 140}",0.652838152,0.625757526,0.637888844,0.685520675,0.630223584
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 19, 'min_samples_split': 260}",0.649275175,0.641226586,0.642219307,0.685517515,0.640780842
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 17, 'min_samples_split': 200}",0.666235484,0.636267761,0.650063162,0.685483818,0.639882344
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 16, 'min_samples_split': 120}",0.655972598,0.636222023,0.645223683,0.685452511,0.638308301
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 18, 'min_samples_split': 140}",0.638333698,0.634281031,0.634540236,0.685397079,0.63471721
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 19, 'min_samples_split': 90}",0.63926384,0.631601011,0.634648052,0.685340238,0.630899003
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 17, 'min_samples_split': 110}",0.642393315,0.632845747,0.636478772,0.685295861,0.631686654
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 18, 'min_samples_split': 140}",0.642154689,0.631663003,0.635289616,0.685257922,0.630335691
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 19, 'min_samples_split': 180}",0.649947801,0.633679468,0.638623906,0.685245155,0.63381745
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 19, 'min_samples_split': 80}",0.650855572,0.636735369,0.643275569,0.68519986,0.637298831
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 18, 'min_samples_split': 270}",0.679391704,0.623301485,0.648643936,0.685158753,0.630553727
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 18, 'min_samples_split': 130}",0.641694838,0.64260136,0.640144183,0.685158271,0.640104163
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 18, 'min_samples_split': 290}",0.692087576,0.6221289,0.653595375,0.685157645,0.632132562
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 19, 'min_samples_split': 280}",0.674242364,0.62795978,0.647892584,0.685087881,0.635622265
