Parameters,mean_test_recall,mean_test_precision,mean_test_f1,mean_test_roc_auc,mean_test_accuracy
"{'criterion': 'gini', 'max_features': 15, 'n_estimators': 19}",0.719942133,0.661963748,0.689430886,0.729846843,0.674233597
"{'criterion': 'gini', 'max_features': 19, 'n_estimators': 17}",0.712143553,0.661802674,0.685641688,0.730064061,0.672554761
"{'criterion': 'gini', 'max_features': 14, 'n_estimators': 19}",0.705010639,0.651521634,0.677113928,0.724532882,0.662106332
"{'criterion': 'gini', 'max_features': 18, 'n_estimators': 19}",0.704559239,0.659193709,0.680897873,0.729517612,0.668619403
"{'criterion': 'gini', 'max_features': 14, 'n_estimators': 15}",0.703680799,0.660438188,0.681206986,0.721452415,0.668620285
"{'criterion': 'gini', 'max_features': 16, 'n_estimators': 19}",0.703433722,0.653653089,0.677362007,0.724682532,0.664348857
"{'criterion': 'gini', 'max_features': 17, 'n_estimators': 19}",0.703005687,0.654880289,0.677932163,0.72274212,0.664466008
"{'criterion': 'gini', 'max_features': 16, 'n_estimators': 17}",0.700766087,0.652525425,0.675597428,0.721420996,0.662328403
"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 17}",0.699891624,0.652055874,0.674998375,0.71202989,0.66053292
"{'criterion': 'gini', 'max_features': 12, 'n_estimators': 17}",0.699888641,0.653686396,0.675919777,0.716560454,0.662443915
"{'criterion': 'gini', 'max_features': 18, 'n_estimators': 17}",0.699434259,0.660599682,0.679168811,0.727012738,0.66839481
"{'criterion': 'gini', 'max_features': 13, 'n_estimators': 17}",0.699218501,0.655948204,0.67672068,0.720794519,0.664240533
"{'criterion': 'gini', 'max_features': 13, 'n_estimators': 15}",0.699215021,0.654566975,0.676078741,0.714047983,0.663229171
"{'criterion': 'gini', 'max_features': 14, 'n_estimators': 17}",0.698992304,0.653485956,0.675218073,0.711072956,0.661994477
"{'criterion': 'gini', 'max_features': 19, 'n_estimators': 19}",0.696744253,0.649096445,0.67166816,0.716461684,0.65918347
"{'criterion': 'gini', 'max_features': 12, 'n_estimators': 19}",0.696543907,0.655052292,0.675066077,0.717703047,0.662780237
"{'criterion': 'gini', 'max_features': 13, 'n_estimators': 19}",0.695868796,0.649710664,0.671920424,0.714577553,0.658059749
"{'criterion': 'gini', 'max_features': 15, 'n_estimators': 17}",0.695866807,0.660443503,0.677513885,0.727904342,0.667495555
"{'criterion': 'gini', 'max_features': 9, 'n_estimators': 19}",0.694999304,0.644689645,0.668682879,0.705204706,0.651997881
"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 19}",0.693423381,0.657915927,0.674995019,0.725012175,0.664354027
"{'criterion': 'gini', 'max_features': 18, 'n_estimators': 13}",0.69274827,0.652800486,0.671866411,0.714719089,0.659970618
"{'criterion': 'gini', 'max_features': 9, 'n_estimators': 15}",0.692535496,0.645187502,0.66790903,0.699806603,0.653010505
"{'criterion': 'gini', 'max_features': 9, 'n_estimators': 17}",0.692317253,0.643706845,0.666949996,0.705019736,0.651326372
"{'criterion': 'gini', 'max_features': 18, 'n_estimators': 15}",0.692084593,0.652415029,0.671561,0.717023873,0.659636313
"{'criterion': 'gini', 'max_features': 11, 'n_estimators': 19}",0.691865853,0.648924501,0.669524514,0.711372722,0.656155185
"{'criterion': 'gini', 'max_features': 16, 'n_estimators': 15}",0.691855413,0.651280284,0.670710079,0.710384012,0.658623186
"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 19}",0.690309318,0.641002761,0.664665462,0.702773086,0.648741977
"{'criterion': 'gini', 'max_features': 19, 'n_estimators': 13}",0.690065224,0.654043731,0.671339021,0.719296757,0.661319941
"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 15}",0.689190761,0.647489626,0.667638407,0.711896399,0.654469792
"{'criterion': 'gini', 'max_features': 19, 'n_estimators': 15}",0.688731407,0.652292837,0.669774439,0.717554501,0.658960643
"{'criterion': 'gini', 'max_features': 17, 'n_estimators': 13}",0.688722459,0.650764907,0.668930779,0.709908353,0.658171351
"{'criterion': 'gini', 'max_features': 12, 'n_estimators': 15}",0.688296413,0.649246397,0.668014274,0.707662049,0.655930466
"{'criterion': 'gini', 'max_features': 13, 'n_estimators': 13}",0.688079661,0.649629585,0.668158859,0.707951622,0.655932105
"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 17}",0.687650135,0.628298489,0.656209555,0.687525824,0.635717096
"{'criterion': 'gini', 'max_features': 17, 'n_estimators': 15}",0.687620804,0.651978018,0.669102453,0.714096172,0.658626338
"{'criterion': 'gini', 'max_features': 19, 'n_estimators': 11}",0.687613347,0.650950537,0.668576779,0.708481599,0.657837047
"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 17}",0.68742543,0.633737444,0.659267771,0.697479529,0.641108967
"{'criterion': 'gini', 'max_features': 17, 'n_estimators': 17}",0.687389139,0.659143028,0.67251893,0.723300812,0.664915573
"{'criterion': 'gini', 'max_features': 11, 'n_estimators': 13}",0.68607123,0.636813439,0.66026211,0.694720174,0.644588456
"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 17}",0.685849507,0.638980908,0.661475692,0.693558105,0.645821259
"{'criterion': 'gini', 'max_features': 14, 'n_estimators': 13}",0.683393653,0.651007967,0.666580434,0.71184712,0.656156068
"{'criterion': 'gini', 'max_features': 16, 'n_estimators': 11}",0.683173918,0.642666247,0.662238461,0.701986043,0.649194567
"{'criterion': 'gini', 'max_features': 15, 'n_estimators': 15}",0.682281061,0.647758465,0.664410766,0.708639174,0.653237115
"{'criterion': 'gini', 'max_features': 15, 'n_estimators': 13}",0.681604458,0.649615876,0.664779913,0.710535707,0.655033607
"{'criterion': 'gini', 'max_features': 15, 'n_estimators': 11}",0.681375776,0.644129241,0.66195917,0.700985072,0.651103923
"{'criterion': 'gini', 'max_features': 11, 'n_estimators': 15}",0.680944758,0.649359271,0.664484713,0.709985795,0.653795634
"{'criterion': 'gini', 'max_features': 14, 'n_estimators': 11}",0.680495347,0.641286076,0.660204824,0.699407816,0.647509426
"{'criterion': 'gini', 'max_features': 11, 'n_estimators': 17}",0.679822721,0.645174096,0.661903105,0.708698904,0.65076407
"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 13}",0.679613924,0.637663258,0.657687665,0.693112265,0.643128917
"{'criterion': 'gini', 'max_features': 19, 'n_estimators': 9}",0.679367344,0.638933851,0.658136384,0.696260585,0.645936771
"{'criterion': 'gini', 'max_features': 9, 'n_estimators': 13}",0.678046452,0.638102242,0.657370526,0.695536922,0.643915182
"{'criterion': 'gini', 'max_features': 18, 'n_estimators': 11}",0.677360901,0.647216752,0.6617528,0.704642033,0.652560184
"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 13}",0.677165527,0.634541798,0.654967597,0.685632095,0.63987276
"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 15}",0.676964683,0.63858583,0.656959888,0.688347318,0.642912269
"{'criterion': 'gini', 'max_features': 18, 'n_estimators': 9}",0.676925907,0.641115819,0.658381944,0.700339813,0.646949898
"{'criterion': 'gini', 'max_features': 16, 'n_estimators': 9}",0.676049952,0.644194303,0.659601281,0.696794908,0.648748786
"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 13}",0.676030564,0.637582514,0.656136779,0.694379116,0.643802696
"{'criterion': 'gini', 'max_features': 17, 'n_estimators': 11}",0.674694261,0.649055471,0.661408647,0.707366711,0.652785912
"{'criterion': 'gini', 'max_features': 15, 'n_estimators': 9}",0.674479001,0.652606946,0.663247118,0.701189363,0.655144958
"{'criterion': 'gini', 'max_features': 12, 'n_estimators': 13}",0.674262249,0.643429982,0.658320725,0.699734674,0.647738181
"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 11}",0.674052458,0.638797434,0.655828349,0.690812485,0.642908738
"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 19}",0.674051464,0.632037406,0.651993986,0.688840645,0.636280407
"{'criterion': 'gini', 'max_features': 16, 'n_estimators': 13}",0.674023624,0.651828146,0.662516895,0.713807421,0.655597296
"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 19}",0.673175509,0.626350928,0.648306237,0.676576968,0.630218414
"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 15}",0.673146675,0.633668088,0.652680571,0.690294268,0.638298339
"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 15}",0.672704721,0.636654476,0.654002228,0.690698706,0.641335452
"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 17}",0.672507358,0.628220421,0.649224574,0.679516383,0.632467496
"{'criterion': 'gini', 'max_features': 12, 'n_estimators': 9}",0.672477529,0.639874716,0.655715168,0.690428646,0.644480258
"{'criterion': 'gini', 'max_features': 11, 'n_estimators': 9}",0.671811864,0.637659965,0.654191741,0.689175339,0.642685784
"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 19}",0.671796452,0.634248516,0.652351271,0.699327876,0.639984994
"{'criterion': 'gini', 'max_features': 12, 'n_estimators': 11}",0.671357978,0.640918044,0.655642037,0.697047877,0.645039282
"{'criterion': 'gini', 'max_features': 17, 'n_estimators': 9}",0.671138741,0.640849682,0.655564751,0.695514759,0.644702203
"{'criterion': 'gini', 'max_features': 13, 'n_estimators': 11}",0.670470092,0.641632708,0.655650208,0.69304093,0.645603097
"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 19}",0.669595629,0.627753506,0.647596686,0.68501081,0.631338857
"{'criterion': 'gini', 'max_features': 14, 'n_estimators': 9}",0.668452215,0.636914905,0.652046262,0.693972534,0.642123104
"{'criterion': 'gini', 'max_features': 13, 'n_estimators': 7}",0.667799475,0.629905358,0.648145183,0.674349928,0.634598166
"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 15}",0.66761454,0.621906062,0.643164482,0.672795253,0.624943946
"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 17}",0.667598135,0.618400364,0.64164396,0.668631866,0.622695368
"{'criterion': 'gini', 'max_features': 9, 'n_estimators': 11}",0.666458698,0.628618058,0.646782222,0.68442841,0.632797513
"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 9}",0.666246421,0.631331563,0.64805425,0.681025835,0.634822507
"{'criterion': 'gini', 'max_features': 17, 'n_estimators': 7}",0.665782592,0.638102876,0.65148153,0.684529768,0.641895989
"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 11}",0.66558672,0.632425755,0.648333938,0.68385885,0.635160343
"{'criterion': 'gini', 'max_features': 11, 'n_estimators': 11}",0.665559378,0.635049428,0.649636996,0.69037622,0.638522302
"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 11}",0.664239978,0.62875616,0.645757968,0.675437208,0.631788043
"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 9}",0.663573318,0.623766596,0.642805837,0.669309798,0.627522793
"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 11}",0.662656101,0.634817523,0.648261336,0.691857843,0.638073242
"{'criterion': 'gini', 'max_features': 9, 'n_estimators': 9}",0.660438872,0.625977354,0.642497849,0.676479308,0.629203521
"{'criterion': 'gini', 'max_features': 2, 'n_estimators': 19}",0.659578826,0.618629297,0.637704899,0.661485651,0.620448429
"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 19}",0.658684975,0.6222243,0.639065784,0.669136142,0.623368012
"{'criterion': 'gini', 'max_features': 16, 'n_estimators': 7}",0.658645204,0.636020007,0.646963047,0.682759468,0.638301114
"{'criterion': 'gini', 'max_features': 18, 'n_estimators': 5}",0.657548521,0.627699265,0.642142812,0.66813953,0.630895472
"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 17}",0.657359112,0.624140162,0.63952809,0.67044102,0.624831335
"{'criterion': 'gini', 'max_features': 14, 'n_estimators': 7}",0.657317352,0.630407929,0.643448958,0.675246468,0.633025007
"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 15}",0.657129932,0.621387642,0.638101819,0.67114667,0.62258427
"{'criterion': 'gini', 'max_features': 18, 'n_estimators': 7}",0.657083698,0.639726818,0.648065503,0.686945641,0.641896997
"{'criterion': 'gini', 'max_features': 2, 'n_estimators': 17}",0.655354657,0.610585165,0.631330294,0.656047476,0.612929545
"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 13}",0.655341732,0.620144555,0.636725256,0.672998765,0.622136471
"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 9}",0.655104598,0.624807121,0.639279461,0.670406926,0.626173722
"{'criterion': 'gini', 'max_features': 19, 'n_estimators': 7}",0.652838649,0.636625389,0.644316544,0.677764182,0.638976154
"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 13}",0.652435472,0.62858088,0.639842358,0.671742852,0.628645506
"{'criterion': 'gini', 'max_features': 19, 'n_estimators': 5}",0.651968661,0.630409823,0.6408889,0.678103393,0.631788799
"{'criterion': 'gini', 'max_features': 9, 'n_estimators': 7}",0.651748429,0.632164424,0.641615245,0.676602417,0.633025637
"{'criterion': 'gini', 'max_features': 15, 'n_estimators': 7}",0.651745446,0.634048353,0.642616511,0.682295564,0.635047352
