Parameters,mean_test_recall,mean_test_precision,mean_test_f1,mean_test_roc_auc,mean_test_accuracy
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 5, 'random_state': 42}",0.624571468342348,0.617575903472831,0.62083071617522,0.6545152022765162,0.6148390269738584
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 6, 'random_state': 42}",0.4890257118994591,0.6453441226388493,0.5561109448871565,0.6640825468604008,0.6077692026381166
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 7, 'random_state': 42}",0.6332559457524658,0.6264934095259518,0.6297664859707869,0.6713869654905391,0.6247203621735458
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 8, 'random_state': 42}",0.5213331212217626,0.6546881650771473,0.5800674475131561,0.6793122974787397,0.6216889241982875
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 9, 'random_state': 42}",0.6457310889277759,0.6354449649801592,0.6403487974839577,0.6839508930820916,0.6348235160594712
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 10, 'random_state': 42}",0.5456306673560293,0.6500749499618423,0.5930400448046331,0.6855285726163001,0.6240445655052397
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 11, 'random_state': 42}",0.6533054605472479,0.6360413358577912,0.6443949945527528,0.6907879797884547,0.6368415742947579
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 12, 'random_state': 42}",0.5728250278396436,0.6566944116293396,0.611744100218665,0.6939153445610298,0.6345958965434622
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 13, 'random_state': 42}",0.6653391465160675,0.6411509742610131,0.6529707911073045,0.6972078969929585,0.6435767159737197
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 14, 'random_state': 42}",0.5946697025135221,0.6609082835364857,0.6257318189829313,0.6983004725361106,0.6430195841057263
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 15, 'random_state': 42}",0.6793872295577474,0.6458403430771202,0.6620284035104794,0.7029106481283193,0.6504274959331139
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 16, 'random_state': 42}",0.6185213172128539,0.6698694881748126,0.6429108801670571,0.7078606643156233,0.6551463448467194
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 17, 'random_state': 42}",0.6836213410754056,0.6503437135794348,0.6664771636954775,0.7111197995023776,0.6553689201629276
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 18, 'random_state': 42}",0.6214116687877822,0.666506225128481,0.6429894006602586,0.71454292843358,0.6537962647700475
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 19, 'random_state': 42}",0.6900816298122813,0.655594362614563,0.6723019491447922,0.7182363224703535,0.6613190582478972
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 20, 'random_state': 42}",0.630106088927776,0.6689597998233778,0.6486576235213118,0.7185285279415004,0.6579523070908838
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 21, 'random_state': 42}",0.6907438156220171,0.6547881515679073,0.6721607997677075,0.7189007403329672,0.6612055637523803
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 22, 'random_state': 42}",0.6394651805599745,0.6708184938865451,0.6545347131226831,0.7203004466895118,0.6617693791851095
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 23, 'random_state': 42}",0.6963162185809736,0.654994754311258,0.6749392882148543,0.7212089034581626,0.6628908309058121
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 24, 'random_state': 42}",0.6508332007636015,0.6679557515398581,0.6590680654085598,0.7208629706915317,0.6624421493335351
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 5, 'random_state': 42}",0.6303775254533884,0.614396748800278,0.6218630162628476,0.6516156536764526,0.6131574168652821
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 6, 'random_state': 42}",0.5001759863188038,0.642871982844634,0.5622401728368362,0.6620051146797163,0.6083317570208957
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 7, 'random_state': 42}",0.6473040287941456,0.6254455313930436,0.6358840661666141,0.6685132381824582,0.6264048726970076
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 8, 'random_state': 42}",0.5418618755965638,0.6534522677965622,0.5921176679323883,0.6759896435445858,0.6241605821006571
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 9, 'random_state': 42}",0.649315940184537,0.6306877395320485,0.6394725594429743,0.6781173607441949,0.6303336738168197
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 10, 'random_state': 42}",0.5599198615972001,0.6534105366955247,0.6027767083791981,0.6831523748997628,0.6280898876404495
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 11, 'random_state': 42}",0.6600177974864779,0.6322767366756807,0.645328116007408,0.6873462672877529,0.6337018121287784
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 12, 'random_state': 42}",0.5802030305440662,0.6558299823112146,0.615412015216874,0.6921402725954611,0.6348276775243068
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 13, 'random_state': 42}",0.6687087376710149,0.6395558959774874,0.6533881607710036,0.6954953916796717,0.6420117529855358
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 14, 'random_state': 42}",0.6009331251988546,0.6579984016822259,0.627914116767305,0.6970730211628081,0.6413403699920555
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 15, 'random_state': 42}",0.680736458001909,0.641814832463597,0.6605441112387134,0.7003125487013804,0.646949646275489
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 16, 'random_state': 42}",0.6120744511613109,0.6565416748988221,0.6332659899796907,0.7046624536560813,0.6431352223861587
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 17, 'random_state': 42}",0.6851982580337258,0.6434065155289744,0.6634124136243849,0.7061240906226289,0.6490843516311682
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 18, 'random_state': 42}",0.62298958001909,0.658711555631048,0.6400826923920361,0.7079112322074623,0.6476260734687701
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 19, 'random_state': 42}",0.6874184696150175,0.6482843501197789,0.6671491007184112,0.7103670527445173,0.6541359916266283
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 20, 'random_state': 42}",0.6287742602608973,0.6631781443069823,0.6452802160586467,0.7118525449519366,0.6527879292298768
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 21, 'random_state': 42}",0.6923172526248806,0.6498567739042519,0.6702158731032035,0.712244864939937,0.6563780123330685
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 22, 'random_state': 42}",0.6397028118040089,0.6642680721240543,0.6515900325708489,0.7157134588030862,0.6559319789656868
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 23, 'random_state': 42}",0.6949898584155265,0.650400577046893,0.6717761491014703,0.7181606761794147,0.65772607472982
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 24, 'random_state': 42}",0.6510718262806237,0.6609699168304966,0.6557707859212749,0.7189772644859727,0.6560439602012635
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 5, 'random_state': 42}",0.6386061286986955,0.622352050917204,0.6302823957879358,0.6592139187780646,0.6223639642366233
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 6, 'random_state': 42}",0.5021605552020364,0.6446441983949966,0.5642512605416211,0.6648391722951816,0.6111346927451796
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 7, 'random_state': 42}",0.6506398146675151,0.6255639130171378,0.6377772042537773,0.6704326596901394,0.6277530611987541
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 8, 'random_state': 42}",0.5427318644607063,0.6481621019151832,0.5905260541796886,0.6781710070581685,0.6222489564811663
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 9, 'random_state': 42}",0.6611045378619153,0.6316133149695167,0.645906470088013,0.6834404188210748,0.6354976733628418
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 10, 'random_state': 42}",0.5661375477251035,0.6567123762192149,0.607826500502867,0.6890023656048851,0.6332537610814765
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 11, 'random_state': 42}",0.6686818923003499,0.6373613634332835,0.6525737186898299,0.693467724886554,0.6415581533184529
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 12, 'random_state': 42}",0.5837386652879415,0.6557583060266067,0.6173032744934918,0.6962285515970994,0.6369551948952699
